groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
com.github.destinyd.android.archetypes,android-library-project,Creates a skeleton for a complete Android library (including application with instrumentation tests and ready-to-publish application on releases),20140604Z,20140721Z
com.github.destinyd.android.archetypes,android-quickstart,Creates a skeleton for a complete Android Apk,20140721Z,20140721Z
com.github.donhac,optimus-archetype-hsf,archetype for the microService of hsf,20180709Z,20180710Z
com.github.donhac,optimus-archetype-java,a maven archetype for the microService of java,20180709Z,20180709Z
com.github.donhac,stonehenge-archetype-hsf,archetype for the microService of hsf,20180521Z,20180524Z
com.github.donhac,stonehenge-archetype-java,a maven archetype for the microService of java,20180511Z,20180703Z
com.github.drtrang,maven-archetype-springboot,基于 Spring Boot 的 Maven 原型,20170810Z,20171130Z
com.github.easypack,easypack-archetype-jetty,Maven archetype for creating a project that uses an embedded Jetty and is packaged with an EasyPack packaging,20150704Z,20150704Z
com.github.easypack,easypack-archetype-quickstart,Maven archetype for quick starting a project that uses one of the EasyPack packagings,20150704Z,20150704Z
com.github.easypack,easypack-archetype-tomcat,Maven archetype for creating a project that uses an embedded Tomcat and is packaged with an EasyPack packaging,20150704Z,20150704Z
com.github.easypack,easypack-archetype-undertow,Maven archetype for creating a project that uses the Undertow server and is packaged with an EasyPack packaging,20150704Z,20150704Z
com.github.fastcube.factory.tibco,archetype-default-workspace,,20200622Z,20200624Z
com.github.fracpete,latex-maven-archetype,The LaTeX Maven Archetype is kickstarts your LaTeX / Maven projects.,20150911Z,20170211Z
com.github.fredlo2010,vaadin-archetype-springboot-application,"This project is no longer maintained :(

        Please user coordinates
        com.github.sparkmuse : vaadin-archetype-springboot-application : 1.0.2

        See: https://github.com/sparkmuse/vaadin-archetype-springboot-application",20180407Z,20180410Z
com.github.freshconnect,yogurtcat-archetype,yogurtcat project,20200129Z,20200129Z
com.github.frtu.archetype,avro-project-archetype,Avro project archetype,20181021Z,20200118Z
com.github.frtu.archetype,base-project-archetype,Avro project archetype,20191013Z,20200517Z
com.github.frtu.archetype,kafka-project-archetype,Avro and Kafka project archetype,20180930Z,20181002Z
com.github.frtu.archetype,plt-graphql-project-archetype,"Platform project archetype to generate GraphQL using
        https://github.com/graphql-java-generator/graphql-maven-plugin-project",20200517Z,20200517Z
com.github.frtu.archetype,plt-kafka-project-archetype,Kafka Platform project archetype,20181021Z,20200118Z
com.github.frtu.archetype,plt-spark-project-archetype,Spark Platform project archetype,20181021Z,20200118Z
